houseNumberGeomWKT,houseNumberId,houseNumberLabel
POINT (2.35921 48.836942),https://www.openstreetmap.org/node/1005346382,"88"
POINT (2.383755 48.851262),https://www.openstreetmap.org/node/1005646330,"9"
POINT (2.361294 48.85304),https://www.openstreetmap.org/node/10057881117,"8"
POINT (2.333365 48.875173),https://www.openstreetmap.org/node/10058646817,"69"
POINT (2.332578 48.871103),https://www.openstreetmap.org/node/10059027710,"8"
POINT (2.354544 48.857578),https://www.openstreetmap.org/node/10059580118,"10"
POINT (2.367134 48.865095),https://www.openstreetmap.org/node/10059604617,"9"
POINT (2.354866 48.864411),https://www.openstreetmap.org/node/10059604717,"68"
POINT (2.34695 48.867329),https://www.openstreetmap.org/node/10060048503,"89"
POINT (2.346795 48.867366),https://www.openstreetmap.org/node/10060048504,"91"
POINT (2.341992 48.847964),https://www.openstreetmap.org/node/10060601917,"21"
POINT (2.356021 48.851957),https://www.openstreetmap.org/node/10064516429,"41"
POINT (2.356384 48.851507),https://www.openstreetmap.org/node/10064516430,"8"
POINT (2.343406 48.87399),https://www.openstreetmap.org/node/10067606817,"45"
POINT (2.361332 48.860344),https://www.openstreetmap.org/node/10067620217,"99"
POINT (2.330316 48.850472),https://www.openstreetmap.org/node/10067620317,"77"
POINT (2.330465 48.843602),https://www.openstreetmap.org/node/10067620417,"5"
POINT (2.36103 48.86714),https://www.openstreetmap.org/node/10067641917,"12"
POINT (2.323117 48.870983),https://www.openstreetmap.org/node/10067688917,"6"
POINT (2.347786 48.860186),https://www.openstreetmap.org/node/10069630453,"7;9"
POINT (2.347745 48.860167),https://www.openstreetmap.org/node/10069630454,"11"
POINT (2.347708 48.86019),https://www.openstreetmap.org/node/10069630455,"11"
POINT (2.348075 48.860275),https://www.openstreetmap.org/node/10069630456,"2"
POINT (2.330441 48.873457),https://www.openstreetmap.org/node/10072545931,"50"
POINT (2.333624 48.868323),https://www.openstreetmap.org/node/10072545932,"32"
POINT (2.337512 48.840093),https://www.openstreetmap.org/node/10073586676,"39"
POINT (2.326435 48.86906),https://www.openstreetmap.org/node/10075469368,"12"
POINT (2.288681 48.86464),https://www.openstreetmap.org/node/10081230514,"83"
POINT (2.291317 48.868277),https://www.openstreetmap.org/node/10081230515,"45"
POINT (2.367239 48.853941),https://www.openstreetmap.org/node/10083375264,"3"
POINT (2.366929 48.83622),https://www.openstreetmap.org/node/10084578055,"7"
POINT (2.366717 48.836403),https://www.openstreetmap.org/node/10084578061,"9"
POINT (2.373335 48.857308),https://www.openstreetmap.org/node/10086428039,"20"
POINT (2.344535 48.875644),https://www.openstreetmap.org/node/10087011985,"20"
POINT (2.346685 48.868217),https://www.openstreetmap.org/node/10089939213,"23"
POINT (2.347278 48.867644),https://www.openstreetmap.org/node/10089939215,"35"
POINT (2.347266 48.867565),https://www.openstreetmap.org/node/10089939216,"33"
POINT (2.34785 48.867951),https://www.openstreetmap.org/node/10089952618,"88"
POINT (2.3473 48.867782),https://www.openstreetmap.org/node/10089952619,"39"
POINT (2.347594 48.868555),https://www.openstreetmap.org/node/10089952621,"3"
POINT (2.347287 48.867701),https://www.openstreetmap.org/node/10089952623,"37"
POINT (2.346273 48.867926),https://www.openstreetmap.org/node/10089952625,"32"
POINT (2.347257 48.867719),https://www.openstreetmap.org/node/10089952627,"37"
POINT (2.347154 48.867876),https://www.openstreetmap.org/node/10089952629,"77"
POINT (2.343911 48.867802),https://www.openstreetmap.org/node/10089952630,"120"
POINT (2.347441 48.868191),https://www.openstreetmap.org/node/10089952632,"43"
POINT (2.343737 48.867612),https://www.openstreetmap.org/node/10089952634,"85"
POINT (2.350945 48.839408),https://www.openstreetmap.org/node/10097797978,"108"
POINT (2.350543 48.857494),https://www.openstreetmap.org/node/10099270359,"2"
POINT (2.347906 48.837937),https://www.openstreetmap.org/node/10100479517,"39"
POINT (2.344364 48.840816),https://www.openstreetmap.org/node/10103139809,"65"
POINT (2.341904 48.844973),https://www.openstreetmap.org/node/10103186913,"25"
POINT (2.342359 48.843334),https://www.openstreetmap.org/node/10103193904,"48"
POINT (2.388155 48.853253),https://www.openstreetmap.org/node/10106389789,"195"
POINT (2.306849 48.857963),https://www.openstreetmap.org/node/10106542141,"178"
POINT (2.331522 48.880229),https://www.openstreetmap.org/node/10112208737,"52"
POINT (2.345926 48.864065),https://www.openstreetmap.org/node/10113358687,"20"
POINT (2.350198 48.863933),https://www.openstreetmap.org/node/10114786217,"112"
POINT (2.372054 48.860868),https://www.openstreetmap.org/node/10115252094,"67"
POINT (2.287687 48.858633),https://www.openstreetmap.org/node/1011663063,"11"
POINT (2.287431 48.858604),https://www.openstreetmap.org/node/1011663089,"14"
POINT (2.28753 48.858387),https://www.openstreetmap.org/node/1011663092,"4"
POINT (2.287283 48.859122),https://www.openstreetmap.org/node/1011663101,"5"
POINT (2.288292 48.858394),https://www.openstreetmap.org/node/1011663107,"62"
POINT (2.287805 48.858882),https://www.openstreetmap.org/node/1011663131,"6"
POINT (2.288092 48.85823),https://www.openstreetmap.org/node/1011663146,64b
POINT (2.288419 48.859004),https://www.openstreetmap.org/node/1011663154,"3"
POINT (2.287961 48.858122),https://www.openstreetmap.org/node/1011663168,"68"
POINT (2.287115 48.859029),https://www.openstreetmap.org/node/1011663178,"9"
POINT (2.28763 48.85859),https://www.openstreetmap.org/node/1011663193,11b
POINT (2.288188 48.859007),https://www.openstreetmap.org/node/1011663195,"1"
POINT (2.288637 48.85887),https://www.openstreetmap.org/node/1011663200,"1"
POINT (2.287845 48.85875),https://www.openstreetmap.org/node/1011663204,"7"
POINT (2.287296 48.85867),https://www.openstreetmap.org/node/1011663215,"6"
POINT (2.287222 48.859063),https://www.openstreetmap.org/node/1011663225,"7"
POINT (2.287653 48.858768),https://www.openstreetmap.org/node/1011663231,"10"
POINT (2.28775 48.858841),https://www.openstreetmap.org/node/1011663242,"8"
POINT (2.287584 48.859349),https://www.openstreetmap.org/node/1011663247,"1"
POINT (2.28835 48.859049),https://www.openstreetmap.org/node/1011663259,"5"
POINT (2.287574 48.858548),https://www.openstreetmap.org/node/1011663264,"13"
POINT (2.287017 48.858963),https://www.openstreetmap.org/node/1011663269,"11"
POINT (2.287756 48.858684),https://www.openstreetmap.org/node/1011663281,"9"
POINT (2.287084 48.858795),https://www.openstreetmap.org/node/1011663285,"8"
POINT (2.287539 48.858684),https://www.openstreetmap.org/node/1011663300,"12"
POINT (2.28736 48.859196),https://www.openstreetmap.org/node/1011663325,"3"
POINT (2.288503 48.858569),https://www.openstreetmap.org/node/1011663336,"60"
POINT (2.287502 48.858495),https://www.openstreetmap.org/node/1011663344,"4"
POINT (2.288155 48.858281),https://www.openstreetmap.org/node/1011663346,"64"
POINT (2.288027 48.858176),https://www.openstreetmap.org/node/1011663361,"66"
POINT (2.356117 48.840056),https://www.openstreetmap.org/node/10118218677,"19"
POINT (2.299648 48.849984),https://www.openstreetmap.org/node/10118422541,53 bis
POINT (2.332707 48.840735),https://www.openstreetmap.org/node/10118599774,"140"
POINT (2.328255 48.881494),https://www.openstreetmap.org/node/10120462641,"63"
POINT (2.375712 48.849755),https://www.openstreetmap.org/node/10120799993,"15"
POINT (2.348223 48.847515),https://www.openstreetmap.org/node/10125185441,"4"
POINT (2.348032 48.847636),https://www.openstreetmap.org/node/10125185442,"8"
POINT (2.323357 48.858561),https://www.openstreetmap.org/node/10125772117,"256"
POINT (2.340216 48.864678),https://www.openstreetmap.org/node/10125944305,"39"
POINT (2.324889 48.855225),https://www.openstreetmap.org/node/10126359567,"67"
POINT (2.348804 48.867845),https://www.openstreetmap.org/node/10128975825,"5"
POINT (2.366433 48.862187),https://www.openstreetmap.org/node/10129084805,"18"
POINT (2.372137 48.863698),https://www.openstreetmap.org/node/10130759041,"43"
POINT (2.370518 48.865511),https://www.openstreetmap.org/node/10130759052,"71"
POINT (2.381136 48.849946),https://www.openstreetmap.org/node/10132701029,"45"
POINT (2.334064 48.867362),https://www.openstreetmap.org/node/10135917053,"63"
POINT (2.33425 48.867318),https://www.openstreetmap.org/node/10135917054,"61"
POINT (2.334426 48.867276),https://www.openstreetmap.org/node/10135917055,"59"
POINT (2.336005 48.866998),https://www.openstreetmap.org/node/10135917056,"30"
POINT (2.324874 48.849355),https://www.openstreetmap.org/node/10136617773,"20"
POINT (2.340955 48.869807),https://www.openstreetmap.org/node/10137291011,"12"
POINT (2.342105 48.869572),https://www.openstreetmap.org/node/10137291012,"2"
POINT (2.340467 48.867218),https://www.openstreetmap.org/node/10137320665,"11"
POINT (2.343559 48.866716),https://www.openstreetmap.org/node/10137633521,"25"
POINT (2.327358 48.847104),https://www.openstreetmap.org/node/10139088033,"61"
POINT (2.368986 48.863647),https://www.openstreetmap.org/node/10139356117,"5"
POINT (2.336254 48.863741),https://www.openstreetmap.org/node/10142331475,"2"
POINT (2.34718 48.86604),https://www.openstreetmap.org/node/10142969721,"94"
POINT (2.346247 48.863324),https://www.openstreetmap.org/node/10142969723,"1"
POINT (2.345642 48.863647),https://www.openstreetmap.org/node/10142969724,"1"
POINT (2.342636 48.864709),https://www.openstreetmap.org/node/10143361339,"19"
POINT (2.388003 48.848237),https://www.openstreetmap.org/node/10146695529,"17"
POINT (2.335905 48.870302),https://www.openstreetmap.org/node/10146831460,"19"
POINT (2.335113 48.870218),https://www.openstreetmap.org/node/10146831507,"8"
POINT (2.335149 48.869938),https://www.openstreetmap.org/node/10146870371,"24"
POINT (2.35606 48.85947),https://www.openstreetmap.org/node/1014690183,"33"
POINT (2.336562 48.868924),https://www.openstreetmap.org/node/10146915783,"14"
POINT (2.327958 48.866937),https://www.openstreetmap.org/node/10147682080,"362"
POINT (2.323725 48.868145),https://www.openstreetmap.org/node/10147682081,"281"
POINT (2.342946 48.870603),https://www.openstreetmap.org/node/10147809817,"168"
POINT (2.333452 48.864264),https://www.openstreetmap.org/node/10148044131,"266"
POINT (2.332509 48.864749),https://www.openstreetmap.org/node/10148225207,"284"
POINT (2.329204 48.866223),https://www.openstreetmap.org/node/10148225208,"231"
POINT (2.341072 48.8618),https://www.openstreetmap.org/node/10148225209,"132"
POINT (2.342385 48.861514),https://www.openstreetmap.org/node/10148225210,"96"
