Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
;7001;partie du;;Chemin de Grande Communication N° 36;PARTIE DU CHEMIN DE GRANDE COMMUNICATION N? 36;partie du Chemin de Grande Communication N° 36;;;;;;;;;;;;;;;;Actuellement rue de Noisy Le Sec.;;;;;;;;;
;7006;;;Chemin de Grande Communication N° 20;CHEMIN DE GRANDE COMMUNICATION N? 20;Chemin de Grande Communication N° 20;;;;;;;;;;;;;;;;Actuellement av. du Docteur Gley.;;;;;;;;;
;5007;rue;;Henri IV;RUE HENRI IV;rue Henri IV;;;;;;;;;;;;;;;;Actuellement partie de la rue des Francs Bourgeois.;;;;;Henri IV, roi de France (1553-1610);;;;
;5018;rue;;Héliot de Brie;RUE HELIOT DE BRIE;rue Héliot de Brie;;;;;;;;;;;;;;;;Supprimé. Elle existait au XIIIe siècle dans la rue de la Verrerie, entre les rues Saint-Bon et de la Poterie (Actuellement rue du Renard).;;;;;;;;;
;5019;ruelle;;Hélie Hannot;RUELLE HELIE HANNOT;ruelle Hélie Hannot;;;;;;;;;;;;;;;;Ou Hélie Annot. Voir : Hélie Annot (ruelle).;;;;;;;;;
;5029;cul-de-sac;de la;Heaumerie;CUL-DE-SAC DE LA HEAUMERIE;cul-de-sac de la Heaumerie;04e;;;;Saint-Merri;;;;;;;;;;;Supprimé. par l'ouverture de la rue de Rivoli. C'était anciennement l'imp. de la Lormerie. Elle était située rue des Ecrivains (Supprimée).;;;;;;;;;
20;7053;rue;;Chaudey;RUE CHAUDEY;rue Chaudey;12e;1936-02-03;;;Bercy;;;;;;;;;;;Supprimée. Elle était située av. de la Porte de Charenton.;Arrêté préfectoral du 3 février 1936;;;;;;;;
;5059;rue;;Haut Bertois;RUE HAUT BERTOIS;rue Haut Bertois;;;;;;;;;;;;;;;;Ou Hautbertois (rue d'). Actuellement partie de la rue Curial.;;;;;;;;;
;5072;impasse;de l';Harmonie;IMPASSE DE L'HARMONIE;impasse de l'Harmonie;;;;;;;;;;;;;;;;Actuellement rue de la Saïda.;;;;;;;;;
;5101;rue;;Guyot;RUE GUYOT;rue Guyot;;;;;;;;;;;;;;;;Actuellement partie de la rue de Miromesnil.;;;;;;;;;
;6445;ruelle;du;Crucifix;RUELLE DU CRUCIFIX;ruelle du Crucifix;;;;;;;;;;;;;;;;Voir : Crucifix (cul-de-sac du).;;;;;;;;;
;6450;rue;;Croulebarbe;RUE CROULEBARBE;rue Croulebarbe;;;;;;;;;;;;;;;;Actuellement partie de la rue Corvisart.;;;;;;;;;
;7119;rue;des;Charrettes;RUE DES CHARRETTES;rue des Charrettes;;;;;;;;;;;;;;;;Actuellement imp. Chartière.;;;;;;;;;
;5136;rue;;Guichard Le Blanc;RUE GUICHARD LE BLANC;rue Guichard Le Blanc;;;;;;;;;;;;;;;;Voir : Chat Blanc (cul-de-sac du).;;;;;;;;;
;5139;rue;;Guiart as Poitevins;RUE GUIART AS POITEVINS;rue Guiart as Poitevins;;;;;;;;;;;;;;;;Actuellement rue des Poitevins.;;;;;;;;;
;5804;porte;de;Fer;PORTE DE FER;porte de Fer;;;;;;;;;;;;;;;;Voir : Enfer (porte d').;;;;;;;;;
;5806;rue;de la;Fennerie;RUE DE LA FENNERIE;rue de la Fennerie;;;;;;;;;;;;;;;;Voir : Foin Saint-Jacques (rue du).;;;;;;;;;
;5182;passage ou impasse;de la;Grille;PASSAGE OU IMPASSE DE LA GRILLE;passage ou impasse de la Grille;;;;;;;;;;;;;;;;Supprimé. Absorbé par la rue Godot de Mauroy lors de son ouverture. Il allait de la rue Basse du Rempart (englobée dans le boul. de la Madeleine) à la rue des Mathurins.;;;;;;;;;
;5190;rue;des;Grésillons;RUE DES GRESILLONS;rue des Grésillons;;;;;;;;;;;;;;;;Actuellement rue de Laborde.;;;;;;;;;
;5817;rue;aux;Febvres;RUE AUX FEBVRES;rue aux Febvres;;;;;;;;;;;;;;;;Voir : Fèves (rue aux).;;;;;;;;;
;5834;rue;du;Faubourg Saint-Laurent;RUE DU FAUBOURG SAINT-LAURENT;rue du Faubourg Saint-Laurent;;;;;;;;;;;;;;;;Actuellement partie de la rue du Faubourg Saint-Martin.;;;;;;;;;
;5844;rue;;Faron;RUE FARON;rue Faron;;;;;;;;;;;;;;;;Ou Farou ou encore Farouls. Actuellement rues Férou et Henry de Jouvenel.;;;;;;;;;
;7219;rue;;Champvoirie;RUE CHAMPVOIRIE;rue Champvoirie;;;;;;;;;;;;;;;;Voir : Chanverrerie (rue de la).;;;;;;;;;
;5210;rue;;Greffière;RUE GREFFIERE;rue Greffière;;;;;;;;;;;;;;;;Ou Greffier. Voir : Greffier (rue).;;;;;;;;;
;5244;rue;de la;Grande Bretonnerie;RUE DE LA GRANDE BRETONNERIE;rue de la Grande Bretonnerie;;;;;;;;;;;;;;;;Actuellement rue Sainte-Croix de la Bretonnerie.;;;;;;;;;
;5886;ruelle;des;Étuves;RUELLE DES ETUVES;ruelle des Étuves;;;;;;;;;;;;;;;;Actuellement rue du Chat qui Pêche.;;;;;;;;;
;1751;cour;;Saint-Ferdinand;COUR SAINT-FERDINAND;cour Saint-Ferdinand;;;;;;;;;;;;;;;;Supprimé. Elle était située rue Saint-Ferdinand, 25.;;;;;;;;;
;1761;rue;;Saint-Étienne;RUE SAINT-ETIENNE;rue Saint-Étienne;;;;;;;;;;;;;;;;Actuellement partie de la rue Rataud.;;;;;;;;;
;1766;rue;;Saint-Éloi;RUE SAINT-ELOI;rue Saint-Éloi;04e;;;;Notre-Dame;;;;;;;;;;;Supprimée pour la construction de la caserne de la Cité. Elle était située entre la rue de la Calandre (supprimée) et celle de la Vieille Draperie. Vers 1280, Cavateria. En 1300, d'après Guillot, rue de la Chavaterie. En 1313, la Savaterie. En 1343 et 1367, la Caveterie, la Savaterie. Elle a aussi porté les noms de la Ganterie et de l'Etoile.;;;;;;;;;
;2014;porte;de;Roule;PORTE DE ROULE;porte de Roule;;;;;;;;;;;;;;;;Voir : Argencourt (porte d').;;;;;;;;;
;2198;rue;du;Rempart;RUE DU REMPART;rue du Rempart;;;;;;;;;;;;;;;;Voir : Saint-Nicaise (rue).;;;;;;;;;
;2061;impasse;du;Roi de Rome;IMPASSE DU ROI DE ROME;impasse du Roi de Rome;;;;;;;;;;;;;;;;Actuellement rue au Maire.;;;;;;;;;
;2099;rue;de;Riom;RUE DE RIOM;rue de Riom;;;;;;;;;;;;;;;;Actuellement rue de l'Orillon.;;;;;;;;;
;2105;rue;du;Ridrel;RUE DU RIDREL;rue du Ridrel;;;;;;;;;;;;;;;;Supprimée en 1937. Commençait rue de Genets (supprimée), finissait rue des Sables (supprimée).;;;;;;;;;
;2110;porte;de;Richelieu;PORTE DE RICHELIEU;porte de Richelieu;;;;;;;;;;;;;;;;Elle était située rue de Richelieu, près de la rue de la Bourse (enceinte de Louis XIII).;;;;;;;;;
;2125;ruelle;;Richard Arrode;RUELLE RICHARD ARRODE;ruelle Richard Arrode;;;;;;;;;;;;;;;;Supprimé. Elle existait encore en 1304. Elle a été comprise dans les bâtiments de l'église Saint-Jacques de la Boucherie.;;;;;;;;;
;2127;impasse;;Richard;IMPASSE RICHARD;impasse Richard;;;;;;;;;;;;;;;;Actuellement rue Tesson.;;;;;;;;;
;2129;cité;;Ribot;CITE RIBOT;cité Ribot;11e;;;;Folie-Méricourt;;240;3;;rue Oberkampf, 137.;rue Jean-Pierre Timbaud, 110;20;21;;;Supprimée en 1976. Elle commençait rue Oberkampf et finissait rue Jean-Pierre Timbaud.;;;;;M. Ribot, propriétaire;;;;
;2159;rue;de la;République;RUE DE LA REPUBLIQUE;rue de la République;;;;;;;;;;;;;;;;Actuellement rue Rambuteau.;;;;;;;;;
;1951;route;;Départementale N° 9;ROUTE DEPARTEMENTALE N? 9;route Départementale N° 9;;;;;;;;;;;;;;;;Actuellement av. Raymond Poincaré et de Malakoff.;;;;;;;;;
;1959;route;;Départementale N° 6;ROUTE DEPARTEMENTALE N? 6;route Départementale N° 6;;;;;;;;;;;;;;;;Actuellement partie de l'avenue de Wagram.;;;;;;;;;
