houseNumberId,houseNumberLabel,houseNumberGeomWKT
https://www.openstreetmap.org/node/10572642923,55,POINT(2.349361 48.889294)
https://www.openstreetmap.org/node/10581713033,61,POINT(2.348904 48.890400)
https://www.openstreetmap.org/node/10582693006,8,POINT(2.338928 48.884093)
https://www.openstreetmap.org/node/10582693007,8,POINT(2.339006 48.884070)
https://www.openstreetmap.org/node/10586823512,16,POINT(2.402045 48.864328)
https://www.openstreetmap.org/node/10589858497,44 bis,POINT(2.405920 48.858605)
https://www.openstreetmap.org/node/10589858501,54 bis,POINT(2.405683 48.858579)
https://www.openstreetmap.org/node/10589858502,52 bis,POINT(2.405706 48.858463)
https://www.openstreetmap.org/node/10589929313,2,POINT(2.405892 48.857541)
https://www.openstreetmap.org/node/10589929314,4,POINT(2.405647 48.857370)
https://www.openstreetmap.org/node/10594582399,51 bis,POINT(2.346094 48.894643)
https://www.openstreetmap.org/node/10604361026,53,POINT(2.356952 48.897912)
https://www.openstreetmap.org/node/10604361027,55,POINT(2.357177 48.897920)
https://www.openstreetmap.org/node/10610814981,120,POINT(2.404029 48.860036)
https://www.openstreetmap.org/node/10611471451,162,POINT(2.398106 48.872896)
https://www.openstreetmap.org/node/10612542013,68,POINT(2.334202 48.887340)
https://www.openstreetmap.org/node/10616948905,22,POINT(2.355287 48.885091)
https://www.openstreetmap.org/node/10636739454,1,POINT(2.392660 48.886433)
https://www.openstreetmap.org/node/10642300803,2 bis,POINT(2.389662 48.872965)
https://www.openstreetmap.org/node/10642300804,4 bis,POINT(2.389940 48.873192)
https://www.openstreetmap.org/node/10646822874,155 A,POINT(2.397336 48.874138)
https://www.openstreetmap.org/node/10646822877,155 bis A,POINT(2.397101 48.874112)
https://www.openstreetmap.org/node/10646822880,155 ter A,POINT(2.396993 48.874020)
https://www.openstreetmap.org/node/10646822883,155 quater A,POINT(2.396904 48.873938)
https://www.openstreetmap.org/node/10647536808,1,POINT(2.390901 48.873490)
https://www.openstreetmap.org/node/10649537046,12,POINT(2.333591 48.884515)
https://www.openstreetmap.org/node/10672557197,110,POINT(2.300857 48.878864)
https://www.openstreetmap.org/node/10676127905,63,POINT(2.335086 48.885646)
https://www.openstreetmap.org/node/10676276353,50,POINT(2.401895 48.854861)
https://www.openstreetmap.org/node/10685304829,67,POINT(2.399349 48.857785)
https://www.openstreetmap.org/node/1068630213,6,POINT(2.348081 48.894828)
https://www.openstreetmap.org/node/1068630218,7,POINT(2.347915 48.894934)
https://www.openstreetmap.org/node/1068630227,14,POINT(2.348278 48.895316)
https://www.openstreetmap.org/node/1068630232,2,POINT(2.347910 48.894573)
https://www.openstreetmap.org/node/1068630243,15,POINT(2.348173 48.895461)
https://www.openstreetmap.org/node/1068630248,11,POINT(2.348079 48.895236)
https://www.openstreetmap.org/node/1068630274,10,POINT(2.348157 48.894983)
https://www.openstreetmap.org/node/1068630289,4,POINT(2.347988 48.894640)
https://www.openstreetmap.org/node/1068630302,16,POINT(2.348388 48.895496)
https://www.openstreetmap.org/node/1068630305,12,POINT(2.348214 48.895186)
https://www.openstreetmap.org/node/1068630317,3,POINT(2.347804 48.894712)
https://www.openstreetmap.org/node/1068630318,5,POINT(2.347858 48.894823)
https://www.openstreetmap.org/node/1068630327,13,POINT(2.348109 48.895326)
https://www.openstreetmap.org/node/1068630352,8,POINT(2.348121 48.894910)
https://www.openstreetmap.org/node/1068630361,1,POINT(2.347751 48.894605)
